IngredientTypes,PatternIndex,Olives (legacy),Jalapeno (legacy),BellPepper (legacy),Difficulty
1,1,FALSE,FALSE,FALSE,5
2,1,FALSE,FALSE,FALSE,8
2,1,TRUE,TRUE,FALSE,8
2,1,FALSE,TRUE,TRUE,9
3,1,FALSE,FALSE,FALSE,11
3,1,TRUE,TRUE,FALSE,11
3,1,FALSE,TRUE,TRUE,12
3,1,TRUE,TRUE,TRUE,12
1,2,FALSE,FALSE,FALSE,5
2,2,FALSE,FALSE,FALSE,8
2,2,TRUE,TRUE,FALSE,8
2,2,FALSE,TRUE,TRUE,9
3,2,FALSE,FALSE,FALSE,11
3,2,TRUE,TRUE,FALSE,11
3,2,FALSE,TRUE,TRUE,12
3,2,TRUE,TRUE,TRUE,12
4,2,FALSE,FALSE,FALSE,14
4,2,TRUE,TRUE,FALSE,14
4,2,FALSE,TRUE,TRUE,15
4,2,TRUE,TRUE,TRUE,15
1,3,FALSE,FALSE,FALSE,7
2,3,FALSE,FALSE,FALSE,10
2,3,TRUE,TRUE,FALSE,10
2,3,FALSE,TRUE,TRUE,11
3,3,FALSE,FALSE,FALSE,13
3,3,TRUE,TRUE,FALSE,13
3,3,FALSE,TRUE,TRUE,14
3,3,TRUE,TRUE,TRUE,14
4,3,FALSE,FALSE,FALSE,16
4,3,TRUE,TRUE,FALSE,16
4,3,FALSE,TRUE,TRUE,17
4,3,TRUE,TRUE,TRUE,17
5,3,FALSE,FALSE,FALSE,19
5,3,TRUE,TRUE,FALSE,19
5,3,FALSE,TRUE,TRUE,20
5,3,TRUE,TRUE,TRUE,20
1,5,FALSE,FALSE,FALSE,9
2,5,FALSE,FALSE,FALSE,12
2,5,TRUE,TRUE,FALSE,12
2,5,FALSE,TRUE,TRUE,13
3,5,FALSE,FALSE,FALSE,15
3,5,TRUE,TRUE,FALSE,15
3,5,FALSE,TRUE,TRUE,16
3,5,TRUE,TRUE,TRUE,16
4,5,FALSE,FALSE,FALSE,18
4,5,TRUE,TRUE,FALSE,18
4,5,FALSE,TRUE,TRUE,19
4,5,TRUE,TRUE,TRUE,19
5,5,FALSE,FALSE,FALSE,21
5,5,TRUE,TRUE,FALSE,21
5,5,FALSE,TRUE,TRUE,22
5,5,TRUE,TRUE,TRUE,22
6,5,FALSE,FALSE,FALSE,24
6,5,TRUE,TRUE,FALSE,24
6,5,FALSE,TRUE,TRUE,25
6,5,TRUE,TRUE,TRUE,25
1,6,FALSE,FALSE,FALSE,5
2,6,FALSE,FALSE,FALSE,8
2,6,TRUE,TRUE,FALSE,8
2,6,FALSE,TRUE,TRUE,9
3,6,FALSE,FALSE,FALSE,11
3,6,TRUE,TRUE,FALSE,11
3,6,FALSE,TRUE,TRUE,12
3,6,TRUE,TRUE,TRUE,12
4,6,FALSE,FALSE,FALSE,14
4,6,TRUE,TRUE,FALSE,14
4,6,FALSE,TRUE,TRUE,15
4,6,TRUE,TRUE,TRUE,15
1,7,FALSE,FALSE,FALSE,7
2,7,FALSE,FALSE,FALSE,10
2,7,TRUE,TRUE,FALSE,10
2,7,FALSE,TRUE,TRUE,11
3,7,FALSE,FALSE,FALSE,13
3,7,TRUE,TRUE,FALSE,13
3,7,FALSE,TRUE,TRUE,14
3,7,TRUE,TRUE,TRUE,14
4,7,FALSE,FALSE,FALSE,16
4,7,TRUE,TRUE,FALSE,16
4,7,FALSE,TRUE,TRUE,17
4,7,TRUE,TRUE,TRUE,17
1,8,FALSE,FALSE,FALSE,7
2,8,FALSE,FALSE,FALSE,10
2,8,TRUE,TRUE,FALSE,10
2,8,FALSE,TRUE,TRUE,11
3,8,FALSE,FALSE,FALSE,13
3,8,TRUE,TRUE,FALSE,13
3,8,FALSE,TRUE,TRUE,14
3,8,TRUE,TRUE,TRUE,14
4,8,FALSE,FALSE,FALSE,16
4,8,TRUE,TRUE,FALSE,16
4,8,FALSE,TRUE,TRUE,17
4,8,TRUE,TRUE,TRUE,17
5,8,FALSE,FALSE,FALSE,19
5,8,TRUE,TRUE,FALSE,19
5,8,FALSE,TRUE,TRUE,20
5,8,TRUE,TRUE,TRUE,20
6,8,FALSE,FALSE,FALSE,22
6,8,TRUE,TRUE,FALSE,22
6,8,FALSE,TRUE,TRUE,23
6,8,TRUE,TRUE,TRUE,23
1,9,FALSE,FALSE,FALSE,9
2,9,FALSE,FALSE,FALSE,12
2,9,TRUE,TRUE,FALSE,12
2,9,FALSE,TRUE,TRUE,13
3,9,FALSE,FALSE,FALSE,15
3,9,TRUE,TRUE,FALSE,15
3,9,FALSE,TRUE,TRUE,16
3,9,TRUE,TRUE,TRUE,16
4,9,FALSE,FALSE,FALSE,18
4,9,TRUE,TRUE,FALSE,18
4,9,FALSE,TRUE,TRUE,19
4,9,TRUE,TRUE,TRUE,19
5,9,FALSE,FALSE,FALSE,21
5,9,TRUE,TRUE,FALSE,21
5,9,FALSE,TRUE,TRUE,22
5,9,TRUE,TRUE,TRUE,22
6,9,FALSE,FALSE,FALSE,24
6,9,TRUE,TRUE,FALSE,24
6,9,FALSE,TRUE,TRUE,25
6,9,TRUE,TRUE,TRUE,25